neg,neu,pos,compound,text
0.0,0.732,0.268,0.9778,"Phil knight is a great writer. Have been reading the Shoe Dog. It's really inspiring special if you are a student. He didn't try to be so witty and wit. But as you read the book you can tell it's innate in him. Which makes it so nice to read. I like that he is unequivocally, clear and straight forward to the knowledge and wisdom he wants you to obtain from this book. Keep on dropping them and we will keep on reading them. Thanks John."
0.0,0.388,0.612,0.6948,You speak so beautifully
0.0,0.865,0.135,0.3612,do you read books one-at-a-time of do you like to have more than one on the go?
0.232,0.768,0.0,-0.5608,Nothing but respect for your discipline and way of life. Keep it up!
0.0,0.702,0.298,0.9117,"You have influenced my life so drastically in the past month. Keep pumping out good content, you have a true gift! I started reading a book a week, using a growth planner, and my productivity/motivation has increased exponentially -I'm a different person.Thank you."
0.0,0.595,0.405,0.6239,Sapiens was amazing! Favourite book of 2017
0.0,0.599,0.401,0.9523,"Hi John, I like your passion for your youtube videos! I am a yoga teacher and your videos remind me why I love to teach and help me create passion in my yoga classes. Keep it up!"
0.074,0.926,0.0,-0.3887,If you haven't read The Alchemist by Paulo Coelho you NEED to read it! Started a bit slow for me but after around 30 pages I couldn't put it down! Seriously changed my perspective on things.
0.0,1.0,0.0,0.0,My plan was to read all the Harry Potter books and it's 7 months in and I have only managed 2
0.0,1.0,0.0,0.0,I teared up when he was talking about Mary Oliver.
0.241,0.759,0.0,-0.2263,When many people forget rap is poetry
0.0,1.0,0.0,0.0,Have you read 12 rules for life by Jordan Peterson?
0.0,1.0,0.0,0.0,Book a day didn't cure your lisp tho
0.28,0.502,0.218,-0.3612,Just ordered your top two books. I'm currently reading Crime and Punishment and Brave New World.
0.0,1.0,0.0,0.0,Do you discuss what you read with anyone?
0.0,0.761,0.239,0.9039,"Awesome books, many good recommendations, thanks man! By the way Audible is good for the reason you're using it for, but I don't think it could EVER be a substitute for actual quality reading. Just wanted to comment on that for others, don't skip your real books guys! :P"
0.0,0.796,0.204,0.7845,"You need to read The Tipping Point by Malcolm Gladwell, I think you’d find it helpful especially since you’re trying to sell your merchandise and all that. Its a great read 👍"
0.0,0.176,0.824,0.6892,You’re awesome!!
0.0,0.72,0.28,0.5413,I think you would really enjoy A New Earth by Eckhart Tolle
0.373,0.627,0.0,-0.4549,This man is so fuckin annoying
0.0,1.0,0.0,0.0,Y do u have a lisp
0.0,1.0,0.0,0.0,Instead of paying for Audible you can use Libby it connects with most public libraries in the country and has just as many audiobooks and kindle books as long as you have a library card to sign up for it
0.0,1.0,0.0,0.0,do you have an account on goodreads  ??
0.0,0.715,0.285,0.4927,It's so easy to follow what you are saying.
0.0,0.691,0.309,0.7003,"have you read ""superintelligence"" by Nick Bostrom? If you enjoyed Life 3.0 i'd recommend this"
0.012,0.845,0.143,0.9865,"Hey John ! I think the idea of reading a book/week is great, in a sense, but what for? What's the idea behind? Hitting the number? Is it about learning or about a numerical challenge ? And do you target books of a certain size or a category to achieve this goal ? Because I think there are some books you cant read in a week, even if you wanted to, even if you were a super fast reader, especially if you're studying/working. Some books that are big in size and in content, profound or/and complex need time to grasp, and to reflect upon, to take notes.. sometimes it's also beneficial to read, stop, exchange with someone about an idea, take notes, and then go back to reading..this is, for me, the main idea behind reading, its main purpose..sometimes you learn more if you exchange about a book and reflect upon it than when you only focus on finishing the book..sometimes you learn more from reading one book in a month or half a month than when you do every week..Im not saying you're not doing all this, Im just saying this should not be solely about numbers.. Those were some ideas I had while watching your inspiring and great video as usual.Im a follower from Morocco and let me tell you're doing a great job ! So keep it up !"
0.0,0.949,0.051,0.34,"You're not approaching Antifragile right.Antifragile is not about putting things in two categorize - human-made and not human-made.Many things that are human-made are also antifragile.It's about understanding that you should do some investment in antifragile things, and that there's even such a scale and what value it brings."
0.0,0.462,0.538,0.8881,Love your channel❤️ Hope we grow into a million subscribers soon! Keep inspiring!
0.0,0.596,0.404,0.7264,"I really enjoy your content, you deserve 1 million subscriber.. greeting from Kuwait"
0.0,0.89,0.11,0.9108,"Hey John, focus on quality, not quantity. One book a week is too much. Do not be just a fast consumer. Some books, like the one from Frankl, need to be read and 'digested' slowly. You also need to get back to them more times and re-read some parts to really understand them. Also, given your age, you may find some part more relevant than others but as you mature and grow, other parts, ideas may appeal too you more. The opposite goes for the books you find 'shallow', boring...Do not feel like you have to read/ listen to them till the end. Wish you insipring reading!"
0.317,0.683,0.0,-0.6249,You should read how to talk without a lisp your lisp is crazy annoying
0.0,1.0,0.0,0.0,Sapiens and Homo Deus are captivating and intriguing!
0.0,0.857,0.143,0.3612,I have been waiting for this video for a such long time .. thank youuuuuu for make it .
0.0,1.0,0.0,0.0,12 rules for life- Jordan Peterson
0.0,0.772,0.228,0.7351,a lotta people jus read american books or the books written by americans ...there's awesome literature in other countries as well ...let's explore everything
0.0,0.264,0.736,0.4199,thank you!
0.0,0.93,0.07,0.4199,Hi John. I would like to apply to Harvard phd in economics or psychology. Currently I am studying in management information systems department in undergraduate. Can you make a video on how to get into Harvard or a video related to that.Thanks!
0.0,1.0,0.0,0.0,This guy is next derek muller the veritasium guy
0.0,0.775,0.225,0.7269,"I wish you could read the bible, in it you will find the wisdom of ages and mysteries the world will never teach you."
0.0,0.686,0.314,0.4939,you are a  blessing to YouTubecollab with Thomas  Frank?
0.0,0.417,0.583,0.4199,Thank you! John.
0.279,0.721,0.0,-0.7347,"If you read 1 book every week, i have to come to the harsh conclusion that none were that great."
0.0,1.0,0.0,0.0,"Try reading the Holy Quran to understand the purpose of life, Read the English explanation  of it."
0.0,0.814,0.186,0.4926,"If you read Sapiens you GOTTA read Homodeus from Harari, it's even better than Sapiens!"
0.127,0.873,0.0,-0.1531,Can you make a video about the films which affected you the most
0.0,0.931,0.069,0.4927,"meditations by marcus aurelius is really good, it introduced me to stoicism.-read some books by ryan holiday.-Open by Andre agassi-Born to run-The stranger by Albert camus(amazing author)-What i talk when i talk about running by Haruki murakami-Animal farm by george orwell-Brave new world by Aldous huxley"
0.0,0.734,0.266,0.504,You do not read any classic? Any good old literature?
0.0,0.513,0.487,0.5859,"This is amazing stuff, John."
0.0,1.0,0.0,0.0,Do you read political books?
0.0,1.0,0.0,0.0,"Hi John, I'm thinking of starting a book review channel. Any tips?"
0.0,0.852,0.148,0.6369,I would like to see videos in which you discuss some of the concepts that you find interesting in the books you have read instead of this one liner comments in a single video.
0.0,0.233,0.767,0.508,Yes! Books! 😍
0.0,0.59,0.41,0.4173,Make more videos like this
0.0,0.473,0.527,0.7712,Great video making a huge impact on my life !
0.0,0.962,0.038,0.2716,"Some books, you should have read are: Das Kapital 1-3, Towards a new Socialism, Imperialism the highest stage of Capitalism by Lenin, Capitalist Realism and the most important works of Stalin. By reading them, you would have actually learned much more, than with reading all those 52 books, you have read or plan on reading."
0.0,0.394,0.606,0.8271,"Dude, that was amazing advice. loved it"
0.0,0.314,0.686,0.8979,"prayer for happiness, joy and peace. Mt 21:21."
0.0,0.813,0.187,0.991,"❣Hi, John, thank you for this impressing list and showing, that not all books are number ones. My favourite book for this year was so far 'THE GOLDFINCH by Donna Tartt. It made me google a lot of things, always a good sign. Kind of a life story with a lot of switches, personal catastrophes beginning in the youth of the protagonist during an exhibition of arts in New York, kind of a main character is a  special little painting... I kind of resisted to read it, there was such a hype about it, but put it on my birthday wish list, now I'm glad to know it.   Viktor Frankl is one of my kind of life coaches through his books, the same for Mihail Czis....you know whom I mean:-). Now I'll search for Mary Olivers poems, sounds touching, thank you! I'm retired now and ENJOY the reading time I now have, but during my whole ( reading) life I've never stopped reading daily, except some days of heavy sickness...my all time favourites are biographies. One of the most impressing among them: THE GLASS CASTLE. Happy reading ( like my favourite booktuber HELENE JEPPESEN from Denmark always says at the end of her videos ), Monika❣"
0.106,0.771,0.124,0.0289,"Hey, John while watching your video about book recommendations. I wanted to ask you if you could recommend some books specifically to computer science students and tell me why it is important for a computer science student to read those books. Despite that great video and keep the great work going Kind regards D O O M  E R A, 2018"
0.0,1.0,0.0,0.0,How do you pick books?
0.0,1.0,0.0,0.0,"Hi, can you make a video on how you manage to read a book a week?! It's a tremendous feat to have read so many books, how do you allocate time to these books?"
0.0,0.683,0.317,0.836,Hi  I love computer science. Are any body can enter to hardvare university. If you tell me i will be happy
0.0,0.152,0.848,0.6801,Thx. Very helpful
0.0,1.0,0.0,0.0,"Just one correction, Viktor E. Frankl was a psychiatrist, not a psychologist."
0.0,1.0,0.0,0.0,A few days ago I bought Shoe Dog and I cant wait to finish my final exams to start reading it!
0.0,0.379,0.621,0.7609,Wow you are so well learned
0.0,0.708,0.292,0.5095,Watching this makes me feel much more intelligent after 😂
0.0,0.581,0.419,0.5574,Fantastic quality and content as always.
0.0,0.607,0.393,0.8927,"Good job, John. I found that your videos are very useful. Thank you for sharing your experience. (massage from Russia, Siberia, lake Baikal)"
0.0,0.647,0.353,0.7184,"hi John, ummm can you donate some of your intelligence to me? k thanks"
0.0,0.778,0.222,0.7171,"Do you also wonder why so few people read? As, you will agree (I hope) that reading - is the most useful thing ever!"
0.0,0.556,0.444,0.9371,love your channel. One of few that I actually learn from and get inspired by. Thanks for the great contents of your videos.
0.0,0.728,0.272,0.5411,"hi John, I want to know how you manage your time to read books. Thanks!"
0.0,0.794,0.206,0.717,"Hi John! since I started to read books it's been life changing. You read the same type of books I like, pleased for founding you on internet!"
0.0,0.488,0.512,0.6369,I love this video so much
0.0,0.775,0.225,0.9245,"Hi, this is a great video! Do you have a GoodReads account where we could follow you? I love getting recommendations for books, too, and would like to see your reviews on GoodReads, if you had/made an account. I've already put some of these books mentioned here on my list to read :-)"
0.0,1.0,0.0,0.0,I would also read a book per week if only I have enough books
0.067,0.64,0.293,0.75,"Whenever l seek motivation on YouTube, l end up watching one of your videos. No matter what it's about, they all have been inspirational for me. Thank you!"
0.0,0.847,0.153,0.6908,I’ve been following along with some of the same books while in college as well and I read any time I have free time and all I want to ask is how tf are you able to finish a 240_340 page book in a week?
0.0,0.323,0.677,0.6369,Love from # India
0.0,0.667,0.333,0.4576,Phenomenal video. I really appreciate the books reviews.
0.0,0.749,0.251,0.8279,I don't know how you did it but you make me ( a guy who barely reads) want to start reading some of these books. Thank you! Keep up the good work!
0.0,0.697,0.303,0.7264,my most proactive times of the day are directly after watching one of your videos. :)
0.0,1.0,0.0,0.0,INSPIRING...
0.098,0.613,0.288,0.4767,"No caption, okay but try to add next videos like the others ;))"
0.184,0.816,0.0,-0.2584,You must read The Subtle Art of Not Giving a F*ck
0.0,0.807,0.193,0.8591,"Haha I was waiting to the end of the vid to reccomend Sapiens 😋 so, so good.Recently finished The Power and can defs reccomended. Not in the happiness/self improvement category but defs v interesting, eye opening and a reflection on humanity.Audible is also my solution - without it I would hardly read at all"
0.0,0.747,0.253,0.6976,"You should read Demian bye Herman Hesse or read something from Giovani Papini or Borges you´re really smart, i like u"
0.0,0.783,0.217,0.3612,"215,000 subs? I remember he had like 20,000 a few months ago. 😱"
0.0,1.0,0.0,0.0,Why  dont u write a book @johnfish
0.109,0.891,0.0,-0.4019,"Damn i guess i dont have to do any reading for the next 6 months, hes done it for me and has just permeated the knowledge."
0.0,0.357,0.643,0.5574,Rich white scum
0.0,1.0,0.0,0.0,我听不懂，可以来个字幕吗，英文也好。
0.0,0.701,0.299,0.6892,Meditations is great! I’m also reading Thus Spoke Zarathustra! Nietzsche is a beast
0.119,0.743,0.138,0.101,"John, knowing that you're at Harvard (which is awesome), I really recommend Brainwashed: How Universities Indoctrinate America's Youth."
0.0,0.698,0.302,0.8111,"Sapiens is a great book. I have not read ""Flow"" or ""Man's Search for Meaning"" so I will definitely check those out!"
0.0,0.791,0.209,0.9099,"I highly agree with Viktor Frankl earning the number one spot with Man’s Search for Meaning. One of my favorite quotes ever comes from it: “Everything can be taken from a man but one thing: the last of human freedoms - to choose one's attitude in any given set of circumstances, to choose one's own way.” Great vid John"
0.0,0.416,0.584,0.9622,"Wow, your content is getting better and better. I'm happy to see you're inspired to improve yourself. Keep it up!"
0.0,1.0,0.0,0.0,I actually paused the video and went and read that poem. I never listen to you tubers when they tell me to do that.Glad I did.
0.0,1.0,0.0,0.0,I wanna read books now...
0.071,0.753,0.176,0.6166,"I just got my book from Amazon the other day and it's The Count of Monte Cristo. It's a 1,000+ pages of a story about revenge, perseverance, and judgment. This book will be a wild ride and hopefully I finish the book by mid-July :D"
0.0,0.715,0.285,0.8016,"Love the videos, keep it up man! Also, you should do daily vlogs if you are interested in doing that"
0.0,1.0,0.0,0.0,Hey John Consider doing a colab with another Youtuber Maybe Thomas Frank?
0.0,0.515,0.485,0.8853,"You're going to be great. Thanks for doing this, thanks for making these videos."
0.0,0.746,0.254,0.7556,"Seems my list of books to read has just got longer 💪😊 Thank you for the recommendations, John!!! Greetings from Chile!"
0.0,0.441,0.559,0.5859,Your channel is amazing
0.0,0.835,0.165,0.5499,"I always read by paper books too, but do you have any desire to change your reading environment to e-books?"
0.0,0.735,0.265,0.8512,I'm just 3 minutes in but I can already tell thta this would be one of the most helpful videos i've ever watched on Youtube. Thanks John!
0.061,0.649,0.29,0.891,"1. Think and Grow Rich - Napoleon Hill2. Success Through a Positive Mental Attitude - W. Clement Stone, Napoleon Hill3. The 10x Rule - Grant Cardone4. The 50th Law - 50 Cent, Robert Gree5. Your Erroneous Zones - Wayne W. Dyer"
0.0,1.0,0.0,0.0,have you considered using an E-reader ?
0.086,0.585,0.33,0.7396,Thank you so much John! I appreciate your videos so much. You have no idea how much they help me:)
0.0,1.0,0.0,0.0,Sapiens is awsome
0.0,0.794,0.206,0.5231,Hi John!!I highly recommend you to read “principle-Ray Dalio”It is about work and life
0.0,1.0,0.0,0.0,Hi! Just a suggestion- try reading books by  Carl Sagan and Rabindranath Tagore.
0.0,0.811,0.189,0.4215,Reading more books is really the power ups of the real world lol
0.042,0.748,0.21,0.9919,"Still in the middle of the video and so far I love it! I just wanted to add my very basic two cents about Richard Bach's book. While I understand your point, what I got from Jonathan Livingston Seagull (it's so weird to write that, the name is very different in portuguese haha) was not to give up on your dreams. Despite the assumptions made by others/society/family/tradition of what you can or should be doing; of who you are and how you should be. Maybe that's just the kid's version of the book, but I really got a sense of hope, persistence and passion (to follow your dreams) from it. As in, yes, you are a seagull, but you can fly low, you can reach the skies, you can twirl. You fight for your dream, you never give up, and your legacy - if there is one - is a new outlook on ""human""/seagull capability. What was once impossible, like flying to the moon, was now possible. This is why I loved the book so much. Please note that this comment is in no way trying to combate your opinion. Books are there to offer the reader their own subjective reading. I just felt like sharing. Thank YOU for sharing your thoughts and growth. I appreciate learning from and with you."
0.0,1.0,0.0,0.0,Ummmm TBH Start writing blogs or articles
0.0,0.5,0.5,0.4588,Try the Bible :)
0.0,1.0,0.0,0.0,The power of your subconscious mind
0.0,0.808,0.192,0.5859,"For your age,  I think it is amazing how mindful of life you are. Keep up the channel"
0.0,0.737,0.263,0.3612,I would recommend The Undoing Project by Michael Lewis
0.0,0.653,0.347,0.9716,"I love how visibly excited you got as you climbed towards #1. Great video as always, John! Will definitely check out some of your recommendations. Thank you for making this world a better place. If I were to compile a similar list on content creators who have the most impact, you'll be among the top ones. :)"
0.044,0.816,0.14,0.5499,I would also love to read english novels and short stories because they are great but I am always having a hard time in understanding the words that I am reading because I am not a native english speaker.
0.0,0.723,0.277,0.7871,Amazing video and great commitment! How do you select which books you want to read? I feel like there are thousands of book suggestions but I never know which ones to actually pick.
0.0,1.0,0.0,0.0,woa 2015k already? Wôaaaaaaa
0.423,0.577,0.0,-0.296,Why no fiction books?
0.0,1.0,0.0,0.0,What’s your opinion on  fictional books? I don’t see you mentioning those types of books.
0.0,0.815,0.185,0.3612,How can you balance reading books and doing academics stuff like studying?
0.0,1.0,0.0,0.0,Why you black nigga
0.0,0.718,0.282,0.993,"Hello John, that's really really interesting ! i've started the same challenge in january 18th, i've read already 23 books, and it is funny because i've read some of your books and learned the same things you describe ! ""Flow"" was last week and Outliers was this week ! How funny ! EVERYONE should try this challenge. Like you said, it's changing your life, you learn A LOT ! John, may i suggest some some books i think  you might enjoy because you'll learn great things : ""What doesn't kill us (Scott Carney)"" ""Teach like a pirate"" (Dave Burgess), ""Deep Work"" (Cal Newport), ""the 7 habits of highly effective people"" (Stephen Covey). If you like memoirs, you might like ""Total Recall"" (Arnold Schwarzenegger), and as you like a bit of philosophy, i would suggest also ""thoughts for myself"" (Marc Aurelius, the roman emperor)  Thank you for your list, i'll buy some more books now haha :D"
0.0,0.843,0.157,0.5499,"Hey John, I know you probably don't have time to read my comment, but can you help me get into Harvard?"
0.0,0.781,0.219,0.4753,"Inspiring video, John! I was just wondering where you find these book recommendations?"
0.0,0.76,0.24,0.7865,"riktigt bra video, hoppas det går bra med svenskan och skolan hope you understand what is written above considering you have swedish classes :D"
0.0,0.732,0.268,0.659,"Shoe dog is one of my favourite books this year, really great book."
0.0,1.0,0.0,0.0,https://www.youtube.com/watch?v=2MHIcabnjrA
0.0,0.543,0.457,0.6369,i think im in love with you
0.0,0.803,0.197,0.6597,I wonder are you interested in cinema? And i mean some quality art house or independent cinema. I think the man of your taste would appreciate them.
0.165,0.538,0.297,0.5318,"What a dorky looking person. Seems like a total nerd and a know-it-all (not in a good way). Impactful isn't a word btw, weirdo."
0.0,0.672,0.328,0.9442,"John has been an inspiration to many. I hope I can inspire people through my channel too. As young folks, that's one thing we seek to do- to provide value to the world and once that's happening we're happy individuals."
0.148,0.689,0.163,-0.0736,"My problem with reading is that I totally forget what I'm reading. Like a read one sentence and advance to the one after, and forget the previous sentence. I don't know if it's the intensity of my focus or what. Someone help me."
0.0,0.645,0.355,0.8904,"Jonh, thank u for what u are doing! I watch ur videos and try to improve my listening in English. And your videos are inspiring me! Thank u!"
0.0,0.214,0.786,0.9001,"Great channel, great video.  Inspiring content."
0.0,0.569,0.431,0.8442,Mr. Fish can you please restock your Growth book. I would love to buy one.Thank You
0.0,0.625,0.375,0.862,"You are very smart. I really have to start reading again, thanks for the inspiration and just keep it up!"
0.0,1.0,0.0,0.0,Would highly suggest “12 Rules to Life” by Jordan Peterson!
0.128,0.667,0.205,0.3595,"John Fish strikes again! Keep it up bro, you inspire me & we're the same age."
0.0,0.312,0.688,0.6597,ily fish daddy
0.0,0.709,0.291,0.5709,I'm actually reading Outliers right now. I'm really enjoying it.
0.0,0.465,0.535,0.7845,Reading how to win friends and influence people
0.0,0.677,0.323,0.5106,When is your growth book going back to sell in amazon
0.0,0.764,0.236,0.7564,"Hey John, one of the books that has influenced me the most has been the 7 habits of highly effective people. I highly recommend it!"
0.166,0.374,0.46,0.6705,"rich dad, poor dad. please do yourself a favor and read it."
0.0,0.624,0.376,0.9336,I like how your videos are very original and very youu. You are not trying to be someone else. Stick to it. You will go to great heights. Good luck :))
0.089,0.832,0.079,-0.0644,How do you guys remember what you’ve read? I’ve found that I’ll enjoy a book but I’ll forget what the lessons are which I’ve read
0.0,0.633,0.367,0.938,This is by far the best video you've ever made. I loved your book recommendations! you just earned a new subscriber from Greece! Thanks so much for your motivational videos <3
0.0,0.513,0.487,0.6908,Gotta rewatch this after exams. thanks for sharing
0.0,1.0,0.0,0.0,"""A writer only begins a book. A reader finishes it."" -Samuel Johnson"
0.126,0.6,0.274,0.4048,I almost cried like 5 times while reading Man's Search For Meaning. It's just too powerful
0.0,1.0,0.0,0.0,But then you’re not really reading. You’re listening to books 🤷🏼‍♂️
0.051,0.812,0.137,0.6232,"I have read only the first position by Frankl and I also highly recommend it. I am also reading in the pace like one book a week. Curently I am reading ""Demian"" by Hermann Hesse and ""Mediations"" by Aurelius. I recommend to read ""Master and Margarita"" by Bulgakov, ""When Nietzsche wept"" by Yalom and so muuch more books."
0.0,1.0,0.0,0.0,"is 12 Rules for Life by Jordan Peterson on your to read list? May I suggest ""Grit"" by Angela Duckworth and ""The Book of Absolutes"" by William Gairdner"
0.0,0.299,0.701,0.6892,great content dude!!
0.0,0.507,0.493,0.7777,I picked up flow !  I would recommend reading iwoz and you’re a bad ass.
0.0,0.857,0.143,0.1697,I've read 30 books this year. Doing this challenge with you!
0.05,0.95,0.0,-0.0286,"I work a lot of hours not because I want results but because I need money, I mean that’s what every student wants out of a job right?"
0.0,0.802,0.198,0.7326,"In terms of non-fiction I highly recommend: Between the World and Me by Ta Nehisi Coates, Evicted by Matthew Desmond, and Just Mercy by Bryan Stevenson!!! MUST READS."
0.0,0.588,0.412,0.4215,Nice editing at 4:57 👌🏻👌🏻👌🏻👌🏻
0.115,0.827,0.058,-0.4329,What's your take on fictional books? Do you read them? Do you not read them? Do you think they are a waste of time or they are worth reading? Why?
0.0,0.735,0.265,0.6892,Hey John! have you ever read the autobiography of Malcolm X? its a great book!
0.0,0.755,0.245,0.7574,You actually made me realize how precious books are and how enriching the time reserved for this is. Thank you so much!
0.0,0.772,0.228,0.9802,"Have you ever read Born to run by Christopher McDougall? I haven't finished it yet but I have been listening to it on audible actually and it is a very interesting book. As someone who runs a lot (if you're still a runner, hope you still run haha), I think you would like it, and it definitely made me think about a lot of things, evolution, the human body, the way we run and just about running. Anyway, just an idea of a book if you don't know what to read next.Great content, really love it! Keep going :)"
0.0,1.0,0.0,0.0,john fithh
0.0,0.764,0.236,0.4754,Read Arnold Schwarzenegger’s autobiography Total Recall: My Unbelievably True Life Story
0.0,0.172,0.828,0.8625,"Great advice, thank you :)"
0.0,0.746,0.254,0.8977,I definitely thought mindset by Carol S. Dweck would be on your list I'm thinking you read that last year that's why it didn't make the list but I would be interested in seeing a list of your top 10 favorite books!
0.0,0.185,0.815,0.6588,Great video !
0.0,0.722,0.278,0.6124,"Hey John, did you end up reading the book about Wealth recommended by Warren Buffet"
0.0,0.444,0.556,0.3612,i like this boy
0.0,1.0,0.0,0.0,Consider joining goodreads!
0.0,0.866,0.134,0.2144,"I think your book list is interesting, but you may consider to read fiction."
0.0,0.661,0.339,0.8275,"I think you are too mature for your age.  You're young, at university, go and have some FUN!!!"
0.0,0.782,0.218,0.9705,"Hey John you should read The Dragon of Eden by Carl Sagan, it gets a little bit too technical in some chapters but it is very interesting, it shows you how most humans think they are superior to other animals but how much we resemble to them. It does a great job into bringing back awareness into realizing that we are actually animals just like any other specie, and its also cool to learn a little bit about the brain and evolution."
0.0,0.698,0.302,0.3818,When are the growth books coming back
0.0,0.818,0.182,0.4404,Thanks for the recommendations. I haven’t read many of these books. I guess I’ll start now.
0.0,0.551,0.449,0.9379,Hey John... Really great video as always! Thank you for that! Strongly recommend you to add Mastery by Robert Greene to your list! Cheers.
0.0,0.838,0.162,0.4404,You can get through many books if you include biographies and memoirs. Those are easy reads.
0.0,1.0,0.0,0.0,I read some of these recently... but going to take your advice and read some of these that I HAVENT read yet.Loved hearing your thoughts on all of these!
0.0,0.875,0.125,0.2846,"Gladwell is a light weight intellectual, but I understand his appeal. Especially since he is from your area."
0.0,0.137,0.863,0.743,That’s pretty ambitious.
0.0,0.89,0.11,0.6199,"I absolutely LOVED Man's Search for Meaning. I read it last year, and it's probably been one of the most influential books I've ever experienced (so far).  I left a recommendation in your request post, but you should also check out Flowers for Algernon by Daniel Keyes."
0.0,0.783,0.217,0.8074,"Empecé a leer Antifrágil porque lo vi en unos de tus videos, y tu recomendación del mismo llamó mi atención. Ahora estoy casi por terminarlo y siento que ha valido completamente la pena. Thanks, John :)"
0.0,0.719,0.281,0.6239,I'll be sure to read some of these books! Thank you for uploading this John.
0.0,1.0,0.0,0.0,I'm rooting for you...
0.0,1.0,0.0,0.0,Out of curiosity for someone who wants to read more how much time did you have to take out of tv (shows & movie watching) time to this far?
0.0,0.484,0.516,0.4926,Needed that video! Thanks 😉
0.0,0.844,0.156,0.8196,"Hey dude, if you're looking for any book recs, Thank You for Being Late by Thomas L. Friedman is amazing, I've read several of the books you're reading and thought you might like this one as well. It'll probably take longer than a week, but it is a detailed and especially salient take on technology, climate, and globalization given the current global geopolitical climate."
0.0,1.0,0.0,0.0,"John fish, i think its gonna be a big name one day ma brtha"
0.071,0.753,0.176,0.5434,I’m currently reading Sapiens and I love it so much. It’s really hard to put down to get other stuff done.
0.0,0.792,0.208,0.2732,"John, how do you approach the existence of God ?"
0.0,1.0,0.0,0.0,"I wonder if I am the only one who didn't notice any religious context in ""Jonathan Livingston Seagull""."
0.0,0.195,0.805,0.9935,"Could you make a video about your favourite fictional books? Please,please,please,please, please,please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please!I'd love that, John!"
0.0,0.767,0.233,0.8658,"Guys can i get some book recommendations? ive read The Time travelers wife, the glass castle, The shack, Brokeback horses. etc.. i loved those books.. but i want more suggestions because reading is something ive come to love."
0.0,0.31,0.69,0.9241,"Yes!!! Great pick for number one, man! Such a great book."
0.0,0.682,0.318,0.6369,i started the book a week thing because of you.. i love it
0.0,0.52,0.48,0.5707,You are an inspiration JF!
0.172,0.828,0.0,-0.4404,I made a goal of reading 20 books for 2018 and so far I've read... 4. :(
0.0,0.685,0.315,0.807,I just picked up Man's Search For Meaning. I'm excited to read it... Hopefully it's as good as you say it is!
0.158,0.842,0.0,-0.1761,You and thomas Frank make me wanna work really hard
0.0,0.725,0.275,0.802,Sapiens is one of my favorite books ever. I love how it focuses on the big picture unlike many other history books.
0.067,0.864,0.069,-0.2048,"I tried this habit few years ago, with sci-fi/noir, thriller and few psychological books from Doctor Wayne Dyer.The most important thing that I have learned is : 99% of cases, too much time waisted on the so called ""inspirational"" books. with the exception of ""Your erroneous zones"" and now ""Flow"". I learned so much from Asimov's books and stories that you cannot immagine. As well as for Bradbury and Dick.According to me, what change life is that you started this process and at the end of it you will be a better man, but simply because of the commitment that it takes, not for all the stupid things that are written on those books."
0.0,0.768,0.232,0.8832,Thanks a lot for the video ! Exactly what I needed .. Imma get some of the books as soon as I can.  And boyyy I can listen to you talk all day it's super chill and exciting at the same time
0.0,0.796,0.204,0.8014,"Have you read ""the curious inciden of the dog in the night-time""? I read it when I was around 12 and I remember thinking it was amazing. I haven't read it again but from what I remember, I really liked it."
0.0,0.423,0.577,0.6239,Another amazing video John!
0.0,0.788,0.212,0.5525,one question ! how do you afford a book a week ?Edit: Thanks for all the ideas I will try this challenge too
0.0,0.735,0.265,0.6892,Hey John! Do you have any motivational playlists of music? That would be awesome!
0.0,0.676,0.324,0.9661,"I’m doing this same challenge thanks to your motivating videos! I’m currently reading “Drive” by Daniel H. Pink. Since late last month I’ve read 4 books that were on your Amazon list and all four have been amazing. Thanks for sharing with us you, your channel has really helped me make positive changes in my life."
0.04,0.79,0.17,0.8144,"I love Dan Brown's novels and I'm going to read ""Origin"" very soon.I am obsessed with books and I've read about 70 books so far 😂 And my goal for this year is 85... Am I insane?P.S. I love your videos and your way of thinking ❤"
0.0,0.593,0.407,0.5859,You should try reading good fiction. It's worth it
0.0,1.0,0.0,0.0,"I read Victor Frank's ""Man search for Meaning"" the same time you were reading it, and I always wondered what you thought about it"
0.0,1.0,0.0,0.0,Mary Oliver: A Summer's Day: https://www.loc.gov/poetry/180/133.html
0.0,1.0,0.0,0.0,Did you just read or jot some notes while reading?
0.0,0.642,0.358,0.4199,"Dude, thank you for this video!"
0.0,1.0,0.0,0.0,Yea John at least somebody is completing their resolutions
0.0,0.79,0.21,0.9624,"Hi John! I've recently discovered your channel and I am kind of in awe of you now. I graduated last summer and wish I had your videos when I was still in university. But not to worry, they are tremendously helpful for the transitional phase between being a college student and working a job! I think your outlook on life is so inspirational and motivating, so I want to say thank you. I'm also wondering: do you ever read fictional books, just become absorbed in another world, reset your mind from everyday life?"
0.0,1.0,0.0,0.0,I’m 23 and can’t pass elementary algebra
0.0,0.909,0.091,0.3818,"Hey, John. I know you love to read, but why don't you included the audiobooks in the list? Since you absorve the content the same way after all"
0.0,0.548,0.452,0.872,How to win friends and influence people is my favorite read for 2018 so far 🙂
0.0,1.0,0.0,0.0,You keep talking about ‘successful people’ but what does it mean to you to be ‘successful’?
